個案研判日,縣市,確定病例數
2021/05/16,新竹縣,1
2021/05/17,新竹縣,1
2021/05/22,新竹縣,2
2021/05/23,新竹縣,1
2021/05/24,新竹縣,1
2021/05/25,新竹縣,1
2021/05/26,新竹縣,4
2021/05/27,新竹縣,5
2021/05/28,新竹縣,1
2021/05/29,新竹縣,2
2021/05/31,新竹縣,1
2021/06/01,新竹縣,1
2021/06/02,新竹縣,2
2021/06/04,新竹縣,1
2021/06/05,新竹縣,7
2021/06/06,新竹縣,3
2021/06/07,新竹縣,1
2021/06/09,新竹縣,1
2021/06/10,新竹縣,2
2021/06/11,新竹縣,12
2021/06/12,新竹縣,1
2021/06/13,新竹縣,2
2021/06/14,新竹縣,3
2021/06/16,新竹縣,4
2021/06/17,新竹縣,10
2021/06/18,新竹縣,1
2021/06/19,新竹縣,3
2021/06/20,新竹縣,4
2021/06/22,新竹縣,1
2021/06/23,新竹縣,9
2021/06/24,新竹縣,5
2021/06/25,新竹縣,4
2021/06/26,新竹縣,1
2021/06/29,新竹縣,4
2021/07/01,新竹縣,1
2021/07/02,新竹縣,4
2021/07/05,新竹縣,1
2021/07/11,新竹縣,1
2021/07/26,新竹縣,1
2022/01/16,新竹縣,2
2022/01/23,新竹縣,3
2022/02/12,新竹縣,1
2022/02/23,新竹縣,1
2022/02/24,新竹縣,2
2022/03/27,新竹縣,54
2022/03/28,新竹縣,4
2022/03/30,新竹縣,2
2022/03/31,新竹縣,1
2022/04/01,新竹縣,2
2022/04/02,新竹縣,8
2022/04/03,新竹縣,11
2022/04/04,新竹縣,11
2022/04/05,新竹縣,14
2022/04/06,新竹縣,8
2022/04/07,新竹縣,10
2022/04/08,新竹縣,6
2022/04/09,新竹縣,14
2022/04/10,新竹縣,13
2022/04/11,新竹縣,16
2022/04/12,新竹縣,23
2022/04/13,新竹縣,21
2022/04/14,新竹縣,14
2022/04/15,新竹縣,15
2022/04/16,新竹縣,7
2022/04/17,新竹縣,15
2022/04/18,新竹縣,17
2022/04/19,新竹縣,26
2022/04/20,新竹縣,39
2022/04/21,新竹縣,46
2022/04/22,新竹縣,64
2022/04/23,新竹縣,54
